Gender Sequence,Country,Race
"F,M,F,F",Singapore,Chinese
"F,F,F,F,M",Singapore,Chinese
"M, M, M, F, M, M, F, F, M",Malaysia,Chinese
"F,M,F,F,F,M,M",USA,Caucasian
"M, F, F, M, M",Singapore,Chinese
MFFM,Singapore,Chinese
MFMM,Singapore ,Chinese
"F,F,F,M",Malaysia,Chinese
"M,M,F,M,F,F,M",Malaysia,Chinese
"F,F,M,M,M",,
"F,F,F,F,F",Singapore,Chinese
"F,F,F,M,F,F,F",Singapore,Chinese
"M,M,M,F,F",Singapore,Chinese
"F,M,F,F,F",Philippines,Filipino
"M,M,F,M,M,F,M",Singapore,Chinese
"M, F, M",Singapore,Chinese
"F,M,F,F,M","S,S,S,S,S","C,C,C,C,C"
"F,M,M,F,M,M,M,M,F",1,1
"M,M,F,F,F,F,F",MY,CHINESE
"F,F,F,F,M,F,F",Singapore,Chinese
"F,F,F,M",India,Indian
"F,F,F,M,F","SG,SG,SG,SG,SG","M,M,M,M,M"
M,F,F
"F,M,M",Singapore,Chinese
"F,M,F",Singapore,Chinese
"F,M,M,M,F,M,M",Malaysia,Chinese
"F,M,F",Singapore,Chinese
"F,F,F",Singapore,Chinese
"F,F",Singapore,Chinese
"F,","M,",M
"F,M,M,F,M,F,M,M",Singapore,Chinese
"F, M, M, M, M, M",Singapore,Chinese
"M,M,M,M,M",Singapore,Chinese
"M,M,M,M,M,F,F,M",Singapore,Chinese
"M,F,M,M,F",Singapore,Malay
"F,F,M,M,F",India,Indian
"M,M,M,F,M,M,F",India,Indian
"M, F, F, M, M, M, F, F, M, F, F, M, M, F, M, M, F, F, M, F, F",United Kingdom,British
"F,M,F,F,M,F",Singapore,Chinese
"M,F,M,F,F,F,F",Indonesia,Chinese
"M,M,M,M,F,M,M,M",Singapore,Chinese
"M,F,M",Singapore,Chinese
Male,Indonesia,Chinese
"M, M, F, M, F",Singapore ,Chinese 
